adapter,adapter_config,signature,n_messages,prompt_chars,prompt_tokens,outcome,error_class
chat,ChatAdapter(use_json_adapter_fallback=False),flat,2,750,174,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),nested,2,1124,303,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,2,1180,323,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),enum,2,858,218,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),optional,2,815,205,ok,
chat,ChatAdapter(use_json_adapter_fallback=False),recursive,2,887,232,ok,
json,JSONAdapter(),flat,2,728,166,ok,
json,JSONAdapter(),nested,2,1209,321,ok,
json,JSONAdapter(),list_of_model,2,1277,344,ok,
json,JSONAdapter(),enum,2,836,210,ok,
json,JSONAdapter(),optional,2,803,201,ok,
json,JSONAdapter(),recursive,2,930,243,ok,
baml,BAMLAdapter(),flat,2,667,156,ok,
baml,BAMLAdapter(),nested,2,639,164,ok,
baml,BAMLAdapter(),list_of_model,2,651,165,ok,
baml,BAMLAdapter(),enum,2,685,178,ok,
baml,BAMLAdapter(),optional,2,688,171,ok,
baml,BAMLAdapter(),recursive,,,,format_error,ValueError
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",flat,2,734,166,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",nested,2,1120,299,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",list_of_model,2,1176,318,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",enum,2,842,210,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",optional,2,799,196,ok,
sola-json-sections,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=SECTIONS)",recursive,2,883,228,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",flat,2,734,166,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",nested,2,848,205,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",list_of_model,2,826,199,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",enum,2,842,210,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",optional,2,785,186,ok,
sola-jsonish-sections,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=SECTIONS)",recursive,2,812,190,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",flat,2,741,167,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",nested,2,888,210,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",list_of_model,2,1015,246,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",enum,2,849,211,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",optional,2,792,187,ok,
sola-yaml-sections,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=SECTIONS)",recursive,2,898,213,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",flat,2,728,166,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",nested,2,1119,301,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",list_of_model,2,1175,320,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",enum,2,836,210,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",optional,2,793,196,ok,
sola-json-block,"StructuredOutputAdapter(output_mode=JSON, prompt_layout=JSON_BLOCK)",recursive,2,882,230,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",flat,2,728,166,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",nested,2,845,206,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",list_of_model,2,823,200,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",enum,2,836,210,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",optional,2,777,186,ok,
sola-jsonish-block,"StructuredOutputAdapter(output_mode=JSONISH, prompt_layout=JSON_BLOCK)",recursive,2,809,191,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",flat,2,735,167,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",nested,2,885,211,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",list_of_model,2,1012,247,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",enum,2,843,211,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",optional,2,784,187,ok,
sola-yaml-block,"StructuredOutputAdapter(output_mode=YAML, prompt_layout=JSON_BLOCK)",recursive,2,895,214,ok,
