adapter,adapter_config,case_id,outcome,error_class,wall_s,lm_calls,response_format_sent,matched,total,ratio,exact,wrong,missing,spurious,total_tokens
chat,ChatAdapter(use_json_adapter_fallback=False),case-0000,parse_error,AdapterParseError,12.621752669000216,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,1365
chat,ChatAdapter(use_json_adapter_fallback=False),case-0001,parse_error,AdapterParseError,2.312591818999863,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1385
chat,ChatAdapter(use_json_adapter_fallback=False),case-0002,parse_error,AdapterParseError,2.1977654840002288,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,1328
chat,ChatAdapter(use_json_adapter_fallback=False),case-0003,parse_error,AdapterParseError,2.1819159130000116,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1343
chat,ChatAdapter(use_json_adapter_fallback=False),case-0004,parse_error,AdapterParseError,2.0391039149999415,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1328
chat,ChatAdapter(use_json_adapter_fallback=False),case-0005,parse_error,AdapterParseError,1.3762424840001586,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1086
chat,ChatAdapter(use_json_adapter_fallback=False),case-0006,parse_error,AdapterParseError,2.247728210999867,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1355
chat,ChatAdapter(use_json_adapter_fallback=False),case-0007,parse_error,AdapterParseError,2.099711126999864,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1340
chat,ChatAdapter(use_json_adapter_fallback=False),case-0008,parse_error,AdapterParseError,2.1699870500001452,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,1338
chat,ChatAdapter(use_json_adapter_fallback=False),case-0009,parse_error,AdapterParseError,2.168989849999889,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1345
chat,ChatAdapter(use_json_adapter_fallback=False),case-0010,parse_error,AdapterParseError,2.176807153000027,1,none,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1383
chat,ChatAdapter(use_json_adapter_fallback=False),case-0011,parse_error,AdapterParseError,3.289591642999767,1,none,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1672
chat,ChatAdapter(use_json_adapter_fallback=False),case-0012,parse_error,AdapterParseError,3.441816861999996,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1668
chat,ChatAdapter(use_json_adapter_fallback=False),case-0013,parse_error,AdapterParseError,2.2622407610001574,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0],,1339
chat,ChatAdapter(use_json_adapter_fallback=False),case-0014,parse_error,AdapterParseError,1.480952449999677,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1157
chat,ChatAdapter(use_json_adapter_fallback=False),case-0015,parse_error,AdapterParseError,2.037435480000113,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1357
chat,ChatAdapter(use_json_adapter_fallback=False),case-0016,parse_error,AdapterParseError,2.049850905999847,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name,,1386
chat,ChatAdapter(use_json_adapter_fallback=False),case-0017,parse_error,AdapterParseError,2.0568271140000434,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1340
chat,ChatAdapter(use_json_adapter_fallback=False),case-0018,parse_error,AdapterParseError,2.0923190319999776,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1356
chat,ChatAdapter(use_json_adapter_fallback=False),case-0019,parse_error,AdapterParseError,2.0518396620000203,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1352
chat,ChatAdapter(use_json_adapter_fallback=False),case-0020,parse_error,AdapterParseError,2.086234444999718,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1311
chat,ChatAdapter(use_json_adapter_fallback=False),case-0021,parse_error,AdapterParseError,2.04739397000003,1,none,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0],,1366
chat,ChatAdapter(use_json_adapter_fallback=False),case-0022,parse_error,AdapterParseError,3.1137253429997145,1,none,0,8,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name,,1664
chat,ChatAdapter(use_json_adapter_fallback=False),case-0023,parse_error,AdapterParseError,1.9874536980000812,1,none,0,15,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1380
chat,ChatAdapter(use_json_adapter_fallback=False),case-0024,parse_error,AdapterParseError,2.6950339589998293,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,1557
chat,ChatAdapter(use_json_adapter_fallback=False),case-0025,parse_error,AdapterParseError,2.0044573710001714,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name,,1357
chat,ChatAdapter(use_json_adapter_fallback=False),case-0026,parse_error,AdapterParseError,2.0001677699997344,1,none,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1352
chat,ChatAdapter(use_json_adapter_fallback=False),case-0027,parse_error,AdapterParseError,1.9941574409999703,1,none,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1332
chat,ChatAdapter(use_json_adapter_fallback=False),case-0028,parse_error,AdapterParseError,2.162962509999943,1,none,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1347
chat,ChatAdapter(use_json_adapter_fallback=False),case-0029,parse_error,AdapterParseError,3.201327391000177,1,none,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1670
json,JSONAdapter(),case-0000,validation_error,ValidationError,2.617723264000233,1,json_object,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment;name;tags[0];tags[1],,1505
json,JSONAdapter(),case-0001,validation_error,ValidationError,0.5691261919996577,1,json_object,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,992
json,JSONAdapter(),case-0002,validation_error,ValidationError,0.6358199950000198,1,json_object,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0];tags[1],,869
json,JSONAdapter(),case-0003,validation_error,ValidationError,0.6037125759999071,1,json_object,0,11,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,960
json,JSONAdapter(),case-0004,validation_error,ValidationError,0.27334924700016927,1,json_object,0,10,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name,,884
json,JSONAdapter(),case-0005,validation_error,ValidationError,2.5541867510000884,1,json_object,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment;name;tags[0];tags[1],,1436
json,JSONAdapter(),case-0006,validation_error,ValidationError,2.638038517000041,1,json_object,0,13,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1];tags[2],,1514
json,JSONAdapter(),case-0007,validation_error,ValidationError,0.5806208660001175,1,json_object,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,937
json,JSONAdapter(),case-0008,validation_error,ValidationError,0.3208080709996466,1,json_object,0,8,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name,,858
json,JSONAdapter(),case-0009,validation_error,ValidationError,2.5003234480000174,1,json_object,0,10,0.0,False,,address.city;address.postcode;address.street;age;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1483
json,JSONAdapter(),case-0010,validation_error,ValidationError,0.9801227590000963,1,json_object,0,14,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;contacts[1].email;contacts[1].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,1096
json,JSONAdapter(),case-0011,validation_error,ValidationError,0.7565717649999897,1,json_object,0,9,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment;name;tags[0],,1000
json,JSONAdapter(),case-0012,validation_error,ValidationError,0.5264737370002877,1,json_object,0,12,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0];tags[1],,940
json,JSONAdapter(),case-0013,validation_error,ValidationError,0.2759986430000936,1,json_object,0,11,0.0,False,,address.city;address.postcode;address.street;age;contacts[0].email;contacts[0].phone;employment.company;employment.role;employment.years;name;tags[0],,864
