adapter,adapter_config,signature,trial,outcome,error_class,wall_s,lm_calls,fallback_suspected,response_format_sent,total_tokens,prompt_tokens_reported,completion_tokens_reported
chat,ChatAdapter(use_json_adapter_fallback=False),flat,1,ok,,9.352574718999989,1,False,none,225,195,30
chat,ChatAdapter(use_json_adapter_fallback=False),flat,2,ok,,1.1984958700000448,1,False,none,225,195,30
chat,ChatAdapter(use_json_adapter_fallback=False),flat,3,ok,,0.9287117029999763,1,False,none,225,195,30
chat,ChatAdapter(use_json_adapter_fallback=False),nested,1,ok,,1.5046182640000438,1,False,none,372,326,46
chat,ChatAdapter(use_json_adapter_fallback=False),nested,2,ok,,1.1931565200000023,1,False,none,372,326,46
chat,ChatAdapter(use_json_adapter_fallback=False),nested,3,ok,,1.2102021750000063,1,False,none,372,326,46
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,1,ok,,1.3242192920000093,1,False,none,395,346,49
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,2,ok,,1.1341890059999855,1,False,none,395,346,49
chat,ChatAdapter(use_json_adapter_fallback=False),list_of_model,3,ok,,1.1297172419999697,1,False,none,395,346,49
chat,ChatAdapter(use_json_adapter_fallback=False),enum,1,ok,,0.5957008270000301,1,False,none,259,239,20
chat,ChatAdapter(use_json_adapter_fallback=False),enum,2,ok,,0.481569396999987,1,False,none,259,239,20
chat,ChatAdapter(use_json_adapter_fallback=False),enum,3,ok,,0.485016083000005,1,False,none,259,239,20
chat,ChatAdapter(use_json_adapter_fallback=False),optional,1,ok,,0.5635422329999642,1,False,none,246,226,20
chat,ChatAdapter(use_json_adapter_fallback=False),optional,2,ok,,0.4696363580000025,1,False,none,246,226,20
chat,ChatAdapter(use_json_adapter_fallback=False),optional,3,ok,,0.4672712519999891,1,False,none,246,226,20
chat,ChatAdapter(use_json_adapter_fallback=False),recursive,1,ok,,1.4626151550000372,1,False,none,312,253,59
chat,ChatAdapter(use_json_adapter_fallback=False),recursive,2,ok,,1.3693652349999752,1,False,none,312,253,59
chat,ChatAdapter(use_json_adapter_fallback=False),recursive,3,ok,,1.3694569500000284,1,False,none,312,253,59
json,JSONAdapter(),flat,1,ok,,0.6720604180000009,1,False,json_object,211,187,24
json,JSONAdapter(),flat,2,ok,,0.5615357739999922,1,False,json_object,211,187,24
json,JSONAdapter(),flat,3,ok,,0.5657339939999702,1,False,json_object,211,187,24
json,JSONAdapter(),nested,1,ok,,1.3426389790000144,1,False,json_object,396,344,52
json,JSONAdapter(),nested,2,ok,,1.20318246100004,1,False,json_object,396,344,52
json,JSONAdapter(),nested,3,ok,,1.2089680540000245,1,False,json_object,396,344,52
json,JSONAdapter(),list_of_model,1,ok,,1.275432244000001,1,False,json_object,415,367,48
json,JSONAdapter(),list_of_model,2,ok,,1.1094229869999594,1,False,json_object,415,367,48
json,JSONAdapter(),list_of_model,3,ok,,1.1112433119999992,1,False,json_object,415,367,48
json,JSONAdapter(),enum,1,ok,,0.5241534059999822,1,False,json_object,248,231,17
json,JSONAdapter(),enum,2,ok,,0.40135582900001054,1,False,json_object,248,231,17
json,JSONAdapter(),enum,3,ok,,0.4042707469999982,1,False,json_object,248,231,17
